,Question
541,"
<p>Yuchi has the following code:</p>
<pre lang=""text/x-c"">#DEFINE N 500
---- (other code skipped) ----
int arr[N][N]; int i; int j;
for(i = 0; i &lt; N; i++)
{
    for(j = 0; j &lt; N; j++)
    {
        arr[i][j] = i + j;
    }
}
</pre>
<p>&nbsp;</p>
<p>When he changes N to 500,000, his code crashes. Why?</p>
"
542,<p>Suppose you have a Java array of ints. What is the worst-case time complexity of retrieving a value from a given location in the array?</p>
543,"<p>In Java, what word is used to refer to the current object, or to call one constructor from another in the same class?</p>"
546,"
<p>Consider the following Java method:</p>
<pre lang=""text/x-java"">public xxx printGreeting() {  // 1
   System.out.println(""Hello!""); // 2
} // 3
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">The xxx in line 1 is best replaced by:</span></p>
"
548,<p>Which of the following statements about constructors is NOT true?</p>
549,"
<p>Given the following Boolean expression:</p>
<code>(jordan.getGridX() &lt; 100) &amp;&amp; (jordan.getGridY() &gt;= 55)</code><p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Which of the following is logically equivalent?</span></p>
"
550,"
<p>Consider the following code segment:</p>
<pre lang=""text/x-java"">if (!this.seesNet(LEFT) &amp;&amp; this.seesFlower(AHEAD))
{
    this.hop();
    this.pick();
}
else
{
    this.turn(RIGHT);
}
</pre>
<p>&nbsp;</p>
<p>Which of the following alternative versions is logically equivalent to (produce the same behavior as) the original?</p>
"
551,"<p>For any JUnit test class, when is the <code>setUp()</code> method executed?</p>"
552,"
<p>In the Java language, what is the value of this expression?</p>
<code>8 / 5 + 3.2</code>
"
553,<p>Which of the following is <em>not</em> true about an <code>interface</code> in Java?</p>
556,<p>Suppose you have a sorted list stored in consecutive locations in a Java array. What is the worst-case time complexity of inserting a new element in the list?</p>
557,<p>Suppose you have a sorted list of numbers stored in a Java array of ints. What is the worst-case time complexity of searching for a given number in the list using binary search?</p>
558,<p>This sorting algorithm roughly orders elements about a pivot element and then sorts the subarray of elements less than the pivot and the subarray of elements greater than the pivot.</p>
559,<p>What effect does the statement Option Explicit in the declaration section have on a Visual Basic module?</p>
560,"
<p>Consider the following class definition.</p>
<p><br><code>i<code>mport</code> java.util.Scanner; // 1</code></p>
<pre lang=""text/x-java"">public class SillyClass2 { // 2
   private int num, totalRed, totalBlack; // 3
   public SillyClass2 () { // 4
      num = 0; // 5
      totalRed = 0; // 6
      totalBlack = 0; // 7
      this.spinWheel(); // 8
      System.out.print(""Black: "" + totalBlack); // 9
      System.out.println("" and red: "" + totalRed); // 10
   } // 11

   public void spinWheel () { // 12
      Scanner kbd = new Scanner(System.in); // 13
      System.out.println(""Enter 1 or 0, -1 to quit.""); // 14
      num = kbd.nextInt(); // 15
      while (num &gt;= 0) { // 16
         if (num == 0) // 17
            totalRed++; // 18
         else if (num == 1) // 19
            totalBlack++; // 20
         else System.out.println(""Try again""); // 21
         System.out.println(""Enter 1 or 0, -1 to quit).""); // 22
         num = kbd.nextInt(); // 23
      } // 24
      System.out.println(""Thanks for playing.""); // 25
   } // 26
} // 27
</pre>
<p>&nbsp;</p>
<p>If line 1 is omitted, which other line(s) of code will cause compile errors?</p>
"
561,"
<p>Consider the following class definition.</p>
<pre lang=""text/x-java"">import java.util.Scanner; // 1

public class SillyClass2 { // 2
   private int num, totalRed, totalBlack; // 3
   public SillyClass2 () { // 4
      num = 0; // 5
      totalRed = 0; // 6
      totalBlack = 0; // 7
      this.spinWheel(); // 8
      System.out.print(""Black: "" + totalBlack); // 9
      System.out.println("" and red: "" + totalRed); // 10
   } // 11

   public void spinWheel () { // 12
      Scanner kbd = new Scanner(System.in); // 13
      System.out.println(""Enter 1 or 0, -1 to quit.""); // 14
      num = kbd.nextInt(); // 15
      while (num &gt;= 0) { // 16
         if (num == 0) // 17
            totalRed++; // 18
         else if (num == 1) // 19
            totalBlack++; // 20
         else System.out.println(""Try again""); // 21
         System.out.println(""Enter 1 or 0, -1 to quit).""); // 22
         num = kbd.nextInt(); // 23
      } // 24
      System.out.println(""Thanks for playing.""); // 25
   } // 26
} // 27
</pre>
<p>&nbsp;</p>
<p>Which sequence of inputs will cause the body of the while loop&nbsp;<strong><em>not</em></strong> to be executed?</p>
"
562,"
<p>Consider the following class definition:</p>
<pre lang=""text/x-java"">import java.util.Scanner; // 1

public class SillyClass2 { // 2
   private int num, totalRed, totalBlack; // 3
   public SillyClass2 () { // 4
      num = 0; // 5
      totalRed = 0; // 6
      totalBlack = 0; // 7
      this.spinWheel(); // 8
      System.out.print(""Black: "" + totalBlack); // 9
      System.out.println("" and red: "" + totalRed); // 10
   } // 11

   public void spinWheel () { // 12
      Scanner kbd = new Scanner(System.in); // 13
      System.out.println(""Enter 1 or 0, -1 to quit.""); // 14
      num = kbd.nextInt(); // 15
      while (num &gt;= 0) { // 16
         if (num == 0) // 17
            totalRed++; // 18
         else if (num == 1) // 19
            totalBlack++; // 20
         else System.out.println(""Try again""); // 21
         System.out.println(""Enter 1 or 0, -1 to quit).""); // 22
         num = kbd.nextInt(); // 23
      } // 24
      System.out.println(""Thanks for playing.""); // 25
   } // 26
} // 27
</pre>
<p>&nbsp;</p>
<p>Which sequence of inputs will cause line 18&nbsp;<strong>not</strong> to be executed?</p>
"
563,"
<p>Consider the following class definition:</p>
<pre lang=""text/x-java"">import java.util.Scanner; // 1

public class SillyClass2 { // 2
   private int num, totalRed, totalBlack; // 3
   public SillyClass2 () { // 4
      num = 0; // 5
      totalRed = 0; // 6
      totalBlack = 0; // 7
      this.spinWheel(); // 8
      System.out.print(""Black: "" + totalBlack); // 9
      System.out.println("" and red: "" + totalRed); // 10
   } // 11
   public void spinWheel () { // 12
      Scanner kbd = new Scanner(System.in); // 13
      System.out.println(""Enter 1 or 0, -1 to quit.""); // 14
      num = kbd.nextInt(); // 15
      while (num &gt;= 0) { // 16
         if (num == 0) // 17
            totalRed++; // 18
         else if (num == 1) // 19
            totalBlack++; // 20
         else System.out.println(""Try again""); // 21
         System.out.println(""Enter 1 or 0, -1 to quit).""); // 22
         num = kbd.nextInt(); // 23
      } // 24
      System.out.println(""Thanks for playing.""); // 25
   } // 26
} // 27
</pre>
<p>&nbsp;</p>
<p>Which sequence of inputs will cause line 20 <strong>not</strong> to be executed?</p>
"
564,"
<p>What does the following Java code print:</p>
<pre lang=""text/x-java"">int sum=0;
for (int j=0; j&lt;3; j++) {
  for (int i=0; i&lt;4; i++) {
    sum += 1;
  }
}
System.out.println(sum);
</pre>
"
565,"
<p>What does the following Java code print?</p>
<pre lang=""text/x-java"">int sum=0;
for (int i=1; i&lt;=5; i++) {
  sum += i;
}
System.out.println(sum);
</pre>
"
569,"
<p>Given the code</p>
<pre lang=""text/x-java"">int x = 27;
 int y = 12; 
</pre>
<p>&nbsp;</p>
<p>the value of the expression &nbsp;<code>x &lt;= y &lt; x + y<span style=""font-family: arial, helvetica, sans-serif;"">&nbsp; &nbsp; is:</span></code></p>
"
570,<p>Which of the following is a list of syntactically legal Java class names?</p>
571,"
<p>Consider this section of code.</p>
<p>int a = 3, b = 4, c = 5;</p>
<p>x = a * b &lt;= c</p>
<p>The expression contains an arithmetic operator, an assignment operator and a relational operator. Which is which?</p>
"
572,"
<p>Consider the following short program:</p>
<p>#include &lt;stdio.h&gt;</p>
<p>void f1(void);</p>
<p>int a;</p>
<p>void main(void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int b;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; a = b = 1;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; f1();</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""%d %d"", a, b);</p>
<p>}</p>
<p>void f1(void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int b = 3;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; a = b;</p>
<p>}</p>
<p>A C program can use the same variable name in a number of places, as shown in this example, but it is always possible to work out to which actual variable a particular instance refers. This is described as</p>
"
573,"
<p>What is the correct way to declare pFile as a file pointer?</p>
"
574,"
<p>What will be displayed by</p>
<p>static char szName[] = ""Peter"";</p>
<p>printf(""%d"", strcmp(""Peter"", szName));</p>
"
575,"
<p>Consider the following short program, which does not meet all institutional coding standards:</p>
<p>void vCodeString(char szText[ ]); /* First line */</p>
<p>#include &lt;stdio.h&gt;</p>
<p>#include &lt;string.h&gt;</p>
<p>#define MAX_LEN 12</p>
<p>int main(void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; char szData[MAX_LEN];</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Enter some text to code: "");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; scanf(""%s"", szData);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; vCodeString(szData); /* Line 8 */</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Coded string is %s\n"", szData);</p>
<p>}</p>
<p>void vCodeString(char szText[ ])</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int i = -1;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; while(szText[++i])</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; szText[i] += (char)2;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>Knowing that scanf does not read beyond a space in the input, I try the routine by typing in Hello there when it asks me for some text. What is output after ""Coded string is &ldquo;?</p>
"
576,"
<p>Consider the following short program, which does not meet all institutional coding standards:</p>
<p>void vCodeString(char szText[ ]); /* First line */</p>
<p>#include &lt;stdio.h&gt;</p>
<p>#include &lt;string.h&gt;</p>
<p>#define MAX_LEN 12</p>
<p>int main(void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; char szData[MAX_LEN];</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Enter some text to code: "");</p>
<p>&nbsp;&nbsp;&nbsp; scanf(""%s"", szData);</p>
<p>&nbsp;&nbsp;&nbsp; vCodeString(szData); /* Line 8 */</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Coded string is %s\n"", szData);</p>
<p>}</p>
<p>void vCodeString(char szText[ ])</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int i = -1;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; while(szText[++i])</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; szText[i] += (char)2;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>Why is there no address operator (&amp;) before szData in the scanf line?:</p>
"
577,"
<p>Consider the following short program, which does not meet all institutional coding standards:</p>
<p>void vCodeString(char szText[ ]); /* First line */</p>
<p>#include &lt;stdio.h&gt;</p>
<p>#include &lt;string.h&gt;</p>
<p>#define MAX_LEN 12</p>
<p>int main(void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; char szData[MAX_LEN];</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Enter some text to code: "");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; scanf(""%s"", szData);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; vCodeString(szData); /* Line 8 */</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Coded string is %s\n"", szData);</p>
<p>}</p>
<p>void vCodeString(char szText[ ])</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int i = -1;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; while(szText[++i])</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; szText[i] += (char)2;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>The first line is:</p>
"
578,"
<p class=""MsoNormal"" style=""mso-layout-grid-align: none; text-autospace: none;""><span style=""font-size: 10.0pt; line-height: 115%;"">What will be printed by this code?</span></p>
<p class=""MsoNormal"" style=""mso-layout-grid-align: none; text-autospace: none;""><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""><span style=""mso-tab-count: 1;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #7f0055;"">public <span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #7f0055;"">static <span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #7f0055;"">void</span></span></span></strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""> main(String [] args){</span></span></span></p>
<p class=""MsoNormal"" style=""mso-layout-grid-align: none; text-autospace: none;""><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""><span style=""mso-tab-count: 2;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #7f0055;"">int</span></strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""> number = 6;</span></span></span></p>
<p class=""MsoNormal"" style=""mso-layout-grid-align: none; text-autospace: none;""><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""><span style=""mso-tab-count: 2;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #7f0055;"">int</span></strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""> secondNumber = <em>changeNumber</em> (number);</span></span></span></p>
<p class=""MsoNormal"" style=""mso-layout-grid-align: none; text-autospace: none;""><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""><span style=""mso-tab-count: 2;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.<em><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #0000c0;"">out</span></em><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;"">.print(number + <span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #2a00ff;"">"" ""<span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""> + secondNumber);</span></span></span></span></span></p>
<p class=""MsoNormal"" style=""mso-layout-grid-align: none; text-autospace: none;""><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""><span style=""mso-tab-count: 1;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</span></span></p>
<p class=""MsoNormal"" style=""mso-layout-grid-align: none; text-autospace: none;""><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""><span style=""mso-tab-count: 1;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #7f0055;"">public <span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #7f0055;"">static <span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #7f0055; background: lightgrey; mso-highlight: lightgrey;"">int</span></span></span></strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""> changeNumber(<strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #7f0055;"">int</span></strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""> number){</span></span></span></span></p>
<p class=""MsoNormal"" style=""mso-layout-grid-align: none; text-autospace: none;""><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""><span style=""mso-tab-count: 2;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; number = 12;</span></span></p>
<p class=""MsoNormal"" style=""mso-layout-grid-align: none; text-autospace: none;""><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""><span style=""mso-tab-count: 2;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: #7f0055; background: lightgrey; mso-highlight: lightgrey;"">return</span></strong><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black; background: lightgrey; mso-highlight: lightgrey;""> number;</span></span></span></p>
<p class=""MsoNormal"" style=""mso-layout-grid-align: none; text-autospace: none;""><span style=""font-size: 10.0pt; line-height: 115%; font-family: 'Courier New'; color: black;""><span style=""mso-tab-count: 1;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</span></span></p>
"
